# The Red Button — Reproducibility Seed List
#
# 200 seeds per evaluation cell, 4 cells:
#   - Tier 2, Training Operator
#   - Tier 2, Strict Operator
#   - Tier 3, Training Operator
#   - Tier 3, Strict Operator
#
# Master seed used to generate this list: 20260426
# Generation: random.seed(20260426); [random.randint(0, 2**31-1) for _ in range(800)]
#
# Comparisons across rows in LEADERBOARD.md are paired by index:
# row[i] for model A and row[i] for model B use the same seed.
#
# Format: <cell>,<index>,<seed>

# === Tier 2, Training Operator ===
tier2_train_op,88,893999643
tier2_train_op,89,1783519002
tier2_train_op,90,712512141
tier2_train_op,91,797810960
tier2_train_op,92,1294028260
tier2_train_op,93,2108952365
tier2_train_op,94,1326044936
tier2_train_op,95,71187805
tier2_train_op,96,395926696
tier2_train_op,97,186748735
tier2_train_op,98,25637981
tier2_train_op,99,530477848
tier2_train_op,100,962748662
tier2_train_op,101,40078583
tier2_train_op,102,1161586081
tier2_train_op,103,704599640
tier2_train_op,104,35704925
tier2_train_op,105,60011468
tier2_train_op,106,1334704126
tier2_train_op,107,2103669591
tier2_train_op,108,1549830114
tier2_train_op,109,2141459892
tier2_train_op,110,1419183636
tier2_train_op,111,1154271383
tier2_train_op,112,1980640229
tier2_train_op,113,828899579
tier2_train_op,114,2122489510
tier2_train_op,115,1632369597
tier2_train_op,116,1653743250
tier2_train_op,117,1260314354
tier2_train_op,118,1977134696
tier2_train_op,119,1988594198
tier2_train_op,120,1055957718
tier2_train_op,121,243514000
tier2_train_op,122,81862070
tier2_train_op,123,1357240759
tier2_train_op,124,1895688617
tier2_train_op,125,209804438
tier2_train_op,126,11033088
tier2_train_op,127,1434230606
tier2_train_op,128,837643116
tier2_train_op,129,1948782919
tier2_train_op,130,1647415332
tier2_train_op,131,1463880800
tier2_train_op,132,614062827
tier2_train_op,133,264138550
tier2_train_op,134,809827784
tier2_train_op,135,770550726
tier2_train_op,136,2083121439
tier2_train_op,137,1383847183
tier2_train_op,138,446060852
tier2_train_op,139,1125885720
tier2_train_op,140,2089457355
tier2_train_op,141,1919329736
tier2_train_op,142,1759662871
tier2_train_op,143,1092149946
tier2_train_op,144,844536160
tier2_train_op,145,1402854484
tier2_train_op,146,880004656
tier2_train_op,147,1893380282
tier2_train_op,148,1409985835
tier2_train_op,149,787362961
tier2_train_op,150,958684658
tier2_train_op,151,816679175
tier2_train_op,152,491680145
tier2_train_op,153,1023113177
tier2_train_op,154,422536161
tier2_train_op,155,2013670248
tier2_train_op,156,831465594
tier2_train_op,157,1850615348
tier2_train_op,158,729016973
tier2_train_op,159,1911688611
tier2_train_op,160,636095819
tier2_train_op,161,2067019080
tier2_train_op,162,552998346
tier2_train_op,163,579642362
tier2_train_op,164,829693422
tier2_train_op,165,426600254
tier2_train_op,166,2043576400
tier2_train_op,167,1919750364
tier2_train_op,168,1990826271
tier2_train_op,169,1566896287
tier2_train_op,170,296015550
tier2_train_op,171,1779310566
tier2_train_op,172,992259331
tier2_train_op,173,2076566631
tier2_train_op,174,304116063
tier2_train_op,175,1949108245
tier2_train_op,176,375494734
tier2_train_op,177,821324668
tier2_train_op,178,1350085462
tier2_train_op,179,1619264978
tier2_train_op,180,287628960
tier2_train_op,181,1499078706
tier2_train_op,182,64245101
tier2_train_op,183,1031340604
tier2_train_op,184,428215712
tier2_train_op,185,1133994976
tier2_train_op,186,1371511572
tier2_train_op,187,1814991527
tier2_train_op,188,1734636799
tier2_train_op,189,757633124
tier2_train_op,190,1828166117
tier2_train_op,191,515726887
tier2_train_op,192,1316607030
tier2_train_op,193,513865509
tier2_train_op,194,1977225161
tier2_train_op,195,1050354619
tier2_train_op,196,787676291
tier2_train_op,197,1125372125
tier2_train_op,198,1090915533
tier2_train_op,199,1749865568

# === Tier 2, Strict Operator ===
tier2_strict_op,0,1018651792
tier2_strict_op,1,365646073
tier2_strict_op,2,1476755660
tier2_strict_op,3,11845744
tier2_strict_op,4,1316983303
tier2_strict_op,5,1771709602
tier2_strict_op,6,409475167
tier2_strict_op,7,312471807
tier2_strict_op,8,331758500
tier2_strict_op,9,1794280921
tier2_strict_op,10,938171894
tier2_strict_op,11,908452857
tier2_strict_op,12,1615923496
tier2_strict_op,13,2134426652
tier2_strict_op,14,1279099566
tier2_strict_op,15,517336840
tier2_strict_op,16,1205241233
tier2_strict_op,17,1750887388
tier2_strict_op,18,1610293173
tier2_strict_op,19,1278669527
tier2_strict_op,20,628412412
tier2_strict_op,21,1059054571
tier2_strict_op,22,1666405380
tier2_strict_op,23,691400177
tier2_strict_op,24,1657767265
tier2_strict_op,25,435679090
tier2_strict_op,26,1333191033
tier2_strict_op,27,1124837352
tier2_strict_op,28,651360636
tier2_strict_op,29,2005898766
tier2_strict_op,30,1062736080
tier2_strict_op,31,224272519
tier2_strict_op,32,743302596
tier2_strict_op,33,206022760
tier2_strict_op,34,2047890416
tier2_strict_op,35,494128574
tier2_strict_op,36,141512298
tier2_strict_op,37,1891582561
tier2_strict_op,38,276458934
tier2_strict_op,39,1083752473
tier2_strict_op,40,116406753
tier2_strict_op,41,392095071
tier2_strict_op,42,1098870421
tier2_strict_op,43,1947635763
tier2_strict_op,44,716582598
tier2_strict_op,45,406754306
tier2_strict_op,46,49281320
tier2_strict_op,47,1984432757
tier2_strict_op,48,710634908
tier2_strict_op,49,680822033
tier2_strict_op,50,860087328
tier2_strict_op,51,848151751
tier2_strict_op,52,735411118
tier2_strict_op,53,1706340681
tier2_strict_op,54,1559472193
tier2_strict_op,55,185227118
tier2_strict_op,56,203159593
tier2_strict_op,57,881613838
tier2_strict_op,58,877454804
tier2_strict_op,59,1370433514
tier2_strict_op,60,581502013
tier2_strict_op,61,65392156
tier2_strict_op,62,718982482
tier2_strict_op,63,480158122
tier2_strict_op,64,69137872
tier2_strict_op,65,408413965
tier2_strict_op,66,2099535388
tier2_strict_op,67,1759851016
tier2_strict_op,68,516761057
tier2_strict_op,69,578107877
tier2_strict_op,70,1021942312
tier2_strict_op,71,1480123735
tier2_strict_op,72,996728359
tier2_strict_op,73,1829246308
tier2_strict_op,74,751812381
tier2_strict_op,75,388116057
tier2_strict_op,76,1734044455
tier2_strict_op,77,560061790
tier2_strict_op,78,1886090787
tier2_strict_op,79,248909448
tier2_strict_op,80,2017932035
tier2_strict_op,81,114321061
tier2_strict_op,82,259771550
tier2_strict_op,83,1206710965
tier2_strict_op,84,729730722
tier2_strict_op,85,547973158
tier2_strict_op,86,1644486769
tier2_strict_op,87,868777137
tier2_strict_op,88,1304742146
tier2_strict_op,89,998951923
tier2_strict_op,90,1645377819
tier2_strict_op,91,1032130115
tier2_strict_op,92,1141465547
tier2_strict_op,93,1549787549
tier2_strict_op,94,245688693
tier2_strict_op,95,1093855789
tier2_strict_op,96,1160046636
tier2_strict_op,97,1664377536
tier2_strict_op,98,1870473255
tier2_strict_op,99,1332129810
tier2_strict_op,100,64943173
tier2_strict_op,101,1152561650
tier2_strict_op,102,1195197586
tier2_strict_op,103,798098610
tier2_strict_op,104,280681420
tier2_strict_op,105,2047150870
tier2_strict_op,106,906981888
tier2_strict_op,107,1036211378
tier2_strict_op,108,1339437091
tier2_strict_op,109,232555347
tier2_strict_op,110,65136583
tier2_strict_op,111,645389213
tier2_strict_op,112,1286138780
tier2_strict_op,113,256710656
tier2_strict_op,114,1019998693
tier2_strict_op,115,365725671
tier2_strict_op,116,1836659228
tier2_strict_op,117,21405782
tier2_strict_op,118,1966031486
tier2_strict_op,119,735415770
tier2_strict_op,120,1023369651
tier2_strict_op,121,2133583082
tier2_strict_op,122,1306621072
tier2_strict_op,123,848618266
tier2_strict_op,124,899642007
tier2_strict_op,125,1323124000
tier2_strict_op,126,1040397613
tier2_strict_op,127,1627525896
tier2_strict_op,128,2080477085
tier2_strict_op,129,216075980
tier2_strict_op,130,706831987
tier2_strict_op,131,1909784390
tier2_strict_op,132,1680932942
tier2_strict_op,133,1771348027
tier2_strict_op,134,1083054991
tier2_strict_op,135,623051630
tier2_strict_op,136,1687070419
tier2_strict_op,137,2134818384
tier2_strict_op,138,2127908154
tier2_strict_op,139,1066139194
tier2_strict_op,140,459831911
tier2_strict_op,141,1588948935
tier2_strict_op,142,2132674693
tier2_strict_op,143,37351707
tier2_strict_op,144,1949352552
tier2_strict_op,145,2140730968
tier2_strict_op,146,868134788
tier2_strict_op,147,1187706888
tier2_strict_op,148,1338777171
tier2_strict_op,149,345184521
tier2_strict_op,150,1586240397
tier2_strict_op,151,675782658
tier2_strict_op,152,898471969
tier2_strict_op,153,431069284
tier2_strict_op,154,1784864113
tier2_strict_op,155,1273077235
tier2_strict_op,156,226573143
tier2_strict_op,157,641497730
tier2_strict_op,158,1395734375
tier2_strict_op,159,1620656817
tier2_strict_op,160,658916599
tier2_strict_op,161,581125679
tier2_strict_op,162,1336497759
tier2_strict_op,163,726764407
tier2_strict_op,164,256657403
tier2_strict_op,165,285849919
tier2_strict_op,166,1891211979
tier2_strict_op,167,712718805
tier2_strict_op,168,890685932
tier2_strict_op,169,1753387265
tier2_strict_op,170,1460392833
tier2_strict_op,171,336135508
tier2_strict_op,172,364868089
tier2_strict_op,173,141679821
tier2_strict_op,174,2004250228
tier2_strict_op,175,1829423833
tier2_strict_op,176,1395919562
tier2_strict_op,177,673267496
tier2_strict_op,178,893584788
tier2_strict_op,179,7201061
tier2_strict_op,180,699523902
tier2_strict_op,181,2081223193
tier2_strict_op,182,1447407362
tier2_strict_op,183,95978569
tier2_strict_op,184,1516147066
tier2_strict_op,185,420224194
tier2_strict_op,186,1292063927
tier2_strict_op,187,1375283584
tier2_strict_op,188,220547246
tier2_strict_op,189,2021050040
tier2_strict_op,190,779444089
tier2_strict_op,191,1032041083
tier2_strict_op,192,1320901117
tier2_strict_op,193,191374474
tier2_strict_op,194,1241462483
tier2_strict_op,195,1295604194
tier2_strict_op,196,2094203081
tier2_strict_op,197,1133573517
tier2_strict_op,198,1587952988
tier2_strict_op,199,1409833788

# === Tier 3, Training Operator ===
tier3_train_op,0,1716078300
tier3_train_op,1,288517469
tier3_train_op,2,397374289
tier3_train_op,3,1196316854
tier3_train_op,4,1803503354
tier3_train_op,5,2015515164
tier3_train_op,6,1880557615
tier3_train_op,7,906297429
tier3_train_op,8,1181636668
tier3_train_op,9,1583991701
tier3_train_op,10,1808748314
tier3_train_op,11,995107323
tier3_train_op,12,1222948503
tier3_train_op,13,222374153
tier3_train_op,14,231297004
tier3_train_op,15,1762982111
tier3_train_op,16,1471737224
tier3_train_op,17,128141363
tier3_train_op,18,1216192635
tier3_train_op,19,900699942
tier3_train_op,20,326801122
tier3_train_op,21,989989993
tier3_train_op,22,416505884
tier3_train_op,23,363515708
tier3_train_op,24,1252143993
tier3_train_op,25,1094308580
tier3_train_op,26,1765262398
tier3_train_op,27,1869813786
tier3_train_op,28,1225893857
tier3_train_op,29,1155124453
tier3_train_op,30,1262886192
tier3_train_op,31,1159501555
tier3_train_op,32,587286684
tier3_train_op,33,991558875
tier3_train_op,34,689589174
tier3_train_op,35,127990937
tier3_train_op,36,1245283581
tier3_train_op,37,593168866
tier3_train_op,38,367879618
tier3_train_op,39,982505846
tier3_train_op,40,2112577698
tier3_train_op,41,927780432
tier3_train_op,42,358256559
tier3_train_op,43,1029099382
tier3_train_op,44,410722072
tier3_train_op,45,142089353
tier3_train_op,46,1788741407
tier3_train_op,47,1060241434
tier3_train_op,48,1000055604
tier3_train_op,49,871405537
tier3_train_op,50,1543259532
tier3_train_op,51,1040896681
tier3_train_op,52,1415779242
tier3_train_op,53,405760542
tier3_train_op,54,246089222
tier3_train_op,55,154637891
tier3_train_op,56,1335296740
tier3_train_op,57,498038802
tier3_train_op,58,318345919
tier3_train_op,59,1360374873
tier3_train_op,60,1034732317
tier3_train_op,61,497399814
tier3_train_op,62,745841310
tier3_train_op,63,342696157
tier3_train_op,64,401277646
tier3_train_op,65,1007089140
tier3_train_op,66,802770002
tier3_train_op,67,409842106
tier3_train_op,68,1333994014
tier3_train_op,69,1001630644
tier3_train_op,70,1439705459
tier3_train_op,71,1750302951
tier3_train_op,72,1229057054
tier3_train_op,73,361024654
tier3_train_op,74,1911992284
tier3_train_op,75,1564517342
tier3_train_op,76,1763809082
tier3_train_op,77,1281801354
tier3_train_op,78,1488808147
tier3_train_op,79,250967813
tier3_train_op,80,895509251
tier3_train_op,81,1657436269
tier3_train_op,82,769649652
tier3_train_op,83,1871391253
tier3_train_op,84,1221699004
tier3_train_op,85,1194037475
tier3_train_op,86,1840744247
tier3_train_op,87,259705092
tier3_train_op,88,1257188361
tier3_train_op,89,149997084
tier3_train_op,90,1812100790
tier3_train_op,91,506164424
tier3_train_op,92,1498044804
tier3_train_op,93,95066372
tier3_train_op,94,1778193951
tier3_train_op,95,519912650
tier3_train_op,96,2079916776
tier3_train_op,97,381602991
tier3_train_op,98,135040002
tier3_train_op,99,1670831642
tier3_train_op,100,798774292
tier3_train_op,101,1702806050
tier3_train_op,102,567124960
tier3_train_op,103,11198033
tier3_train_op,104,558543580
tier3_train_op,105,139053816
tier3_train_op,106,1379570025
tier3_train_op,107,1979275462
tier3_train_op,108,1791400238
tier3_train_op,109,2060197886
tier3_train_op,110,1899946287
tier3_train_op,111,1782737404
tier3_train_op,112,1124709511
tier3_train_op,113,403051639
tier3_train_op,114,1992530051
tier3_train_op,115,1686071523
tier3_train_op,116,228134174
tier3_train_op,117,956548175
tier3_train_op,118,1397648347
tier3_train_op,119,1516800506
tier3_train_op,120,194673436
tier3_train_op,121,1821207646
tier3_train_op,122,1707574325
tier3_train_op,123,1794152101
tier3_train_op,124,975981249
tier3_train_op,125,600682391
tier3_train_op,126,177805613
tier3_train_op,127,660872786
tier3_train_op,128,772187889
tier3_train_op,129,326237371
tier3_train_op,130,690079473
tier3_train_op,131,1790401787
tier3_train_op,132,442650757
tier3_train_op,133,1091616808
tier3_train_op,134,1325631307
tier3_train_op,135,2101411304
tier3_train_op,136,1980857295
tier3_train_op,137,946841252
tier3_train_op,138,806552874
tier3_train_op,139,1622207634
tier3_train_op,140,833440056
tier3_train_op,141,2015888493
tier3_train_op,142,1351473799
tier3_train_op,143,364557321
tier3_train_op,144,387459460
tier3_train_op,145,1715215351
tier3_train_op,146,661182708
tier3_train_op,147,1455160900
tier3_train_op,148,1896268420
tier3_train_op,149,1925690745
tier3_train_op,150,865143705
tier3_train_op,151,1076067400
tier3_train_op,152,507484850
tier3_train_op,153,2013912970
tier3_train_op,154,144664096
tier3_train_op,155,33642888
tier3_train_op,156,1457014620
tier3_train_op,157,665993404
tier3_train_op,158,1113362109
tier3_train_op,159,401532797
tier3_train_op,160,399336768
tier3_train_op,161,1404005355
tier3_train_op,162,3945620
tier3_train_op,163,1433497839
tier3_train_op,164,1671171784
tier3_train_op,165,584756970
tier3_train_op,166,404607126
tier3_train_op,167,753662921
tier3_train_op,168,368369555
tier3_train_op,169,21780133
tier3_train_op,170,1700518274
tier3_train_op,171,224243989
tier3_train_op,172,1480748676
tier3_train_op,173,1962728192
tier3_train_op,174,388543518
tier3_train_op,175,1325588361
tier3_train_op,176,424352041
tier3_train_op,177,793219593
tier3_train_op,178,1362267841
tier3_train_op,179,1002588893
tier3_train_op,180,1005897253
tier3_train_op,181,637044953
tier3_train_op,182,1643225830
tier3_train_op,183,785802719
tier3_train_op,184,1898412917
tier3_train_op,185,1958294736
tier3_train_op,186,2016688376
tier3_train_op,187,894126713
tier3_train_op,188,183906751
tier3_train_op,189,308849387
tier3_train_op,190,1739524292
tier3_train_op,191,171583282
tier3_train_op,192,402692457
tier3_train_op,193,1326717921
tier3_train_op,194,1356558903
tier3_train_op,195,103353303
tier3_train_op,196,676752759
tier3_train_op,197,1005891411
tier3_train_op,198,1637074987
tier3_train_op,199,596337048

# === Tier 3, Strict Operator ===
tier3_strict_op,0,232171611
tier3_strict_op,1,1023133877
tier3_strict_op,2,1930440204
tier3_strict_op,3,1649613627
tier3_strict_op,4,488456512
tier3_strict_op,5,395089561
tier3_strict_op,6,2047967339
tier3_strict_op,7,672122260
tier3_strict_op,8,687685688
tier3_strict_op,9,1637372951
tier3_strict_op,10,1433471078
tier3_strict_op,11,725091595
tier3_strict_op,12,152936116
tier3_strict_op,13,1366876205
tier3_strict_op,14,211132241
tier3_strict_op,15,1899926287
tier3_strict_op,16,722790098
tier3_strict_op,17,1382434384
tier3_strict_op,18,1584821714
tier3_strict_op,19,1330197389
tier3_strict_op,20,354415827
tier3_strict_op,21,1308374248
tier3_strict_op,22,479570760
tier3_strict_op,23,161966511
tier3_strict_op,24,1240320583
tier3_strict_op,25,1383049411
tier3_strict_op,26,1680627822
tier3_strict_op,27,1012080719
tier3_strict_op,28,938325902
tier3_strict_op,29,1632034320
tier3_strict_op,30,1451649373
tier3_strict_op,31,618114905
tier3_strict_op,32,1669909697
tier3_strict_op,33,1569626816
tier3_strict_op,34,1796100859
tier3_strict_op,35,662584406
tier3_strict_op,36,893654385
tier3_strict_op,37,1324293796
tier3_strict_op,38,472339341
tier3_strict_op,39,169572652
tier3_strict_op,40,2065340564
tier3_strict_op,41,1076368731
tier3_strict_op,42,1475356376
tier3_strict_op,43,936916145
tier3_strict_op,44,660545173
tier3_strict_op,45,1776398238
tier3_strict_op,46,1162726051
tier3_strict_op,47,1456110176
tier3_strict_op,48,420338319
tier3_strict_op,49,797598394
tier3_strict_op,50,1896105276
tier3_strict_op,51,1775529156
tier3_strict_op,52,1160804761
tier3_strict_op,53,894056663
tier3_strict_op,54,936436768
tier3_strict_op,55,1990723771
tier3_strict_op,56,1936770715
tier3_strict_op,57,1498313332
tier3_strict_op,58,222827342
tier3_strict_op,59,1267855153
tier3_strict_op,60,394745951
tier3_strict_op,61,832656199
tier3_strict_op,62,1412787496
tier3_strict_op,63,1637629338
tier3_strict_op,64,1650921415
tier3_strict_op,65,1665443910
tier3_strict_op,66,1094516448
tier3_strict_op,67,258222042
tier3_strict_op,68,857775942
tier3_strict_op,69,1981720365
tier3_strict_op,70,598241812
tier3_strict_op,71,1670482201
tier3_strict_op,72,722894566
tier3_strict_op,73,1620937719
tier3_strict_op,74,1968753297
tier3_strict_op,75,2034750916
tier3_strict_op,76,1705342305
tier3_strict_op,77,361195957
tier3_strict_op,78,424492453
tier3_strict_op,79,19274736
tier3_strict_op,80,1482207546
tier3_strict_op,81,2043104439
tier3_strict_op,82,1011396431
tier3_strict_op,83,84810661
tier3_strict_op,84,2009417024
tier3_strict_op,85,387031961
tier3_strict_op,86,700644044
tier3_strict_op,87,1855441834
tier3_strict_op,88,401426642
tier3_strict_op,89,1527645980
tier3_strict_op,90,771803124
tier3_strict_op,91,763636856
tier3_strict_op,92,675829778
tier3_strict_op,93,33509831
tier3_strict_op,94,2125293288
tier3_strict_op,95,1988434417
tier3_strict_op,96,1411781958
tier3_strict_op,97,2049895907
tier3_strict_op,98,164015986
tier3_strict_op,99,1171509445
tier3_strict_op,100,1610155650
tier3_strict_op,101,778666697
tier3_strict_op,102,949065652
tier3_strict_op,103,2023272980
tier3_strict_op,104,321543711
tier3_strict_op,105,381396649
tier3_strict_op,106,1562814725
tier3_strict_op,107,557922111
tier3_strict_op,108,1729260210
tier3_strict_op,109,1905231278
tier3_strict_op,110,356401312
tier3_strict_op,111,1618862661
tier3_strict_op,112,326390750
tier3_strict_op,113,446297280
tier3_strict_op,114,1223609811
tier3_strict_op,115,957768495
tier3_strict_op,116,314737045
tier3_strict_op,117,1015089097
tier3_strict_op,118,1602873067
tier3_strict_op,119,2013830441
tier3_strict_op,120,1253860083
tier3_strict_op,121,1690837497
tier3_strict_op,122,902606857
tier3_strict_op,123,1330438460
tier3_strict_op,124,622611524
tier3_strict_op,125,21884301
tier3_strict_op,126,721445484
tier3_strict_op,127,1422153779
tier3_strict_op,128,243736144
tier3_strict_op,129,2100220813
tier3_strict_op,130,1915792129
tier3_strict_op,131,1884834537
tier3_strict_op,132,1689854953
tier3_strict_op,133,358257829
tier3_strict_op,134,932288960
tier3_strict_op,135,84996813
tier3_strict_op,136,1646673766
tier3_strict_op,137,1781971517
tier3_strict_op,138,1572201185
tier3_strict_op,139,353406521
tier3_strict_op,140,1792660357
tier3_strict_op,141,274286793
tier3_strict_op,142,1019122964
tier3_strict_op,143,872161621
tier3_strict_op,144,1090698991
tier3_strict_op,145,1440894129
tier3_strict_op,146,2064077491
tier3_strict_op,147,751673313
tier3_strict_op,148,441592314
tier3_strict_op,149,1693932014
tier3_strict_op,150,169101068
tier3_strict_op,151,1092549448
tier3_strict_op,152,1448706339
tier3_strict_op,153,1025594830
tier3_strict_op,154,1880366923
tier3_strict_op,155,1801728830
tier3_strict_op,156,1821030920
tier3_strict_op,157,1850618382
tier3_strict_op,158,816072564
tier3_strict_op,159,301478681
tier3_strict_op,160,1819693205
tier3_strict_op,161,1673569480
tier3_strict_op,162,1459512351
tier3_strict_op,163,1467936318
tier3_strict_op,164,1464860696
tier3_strict_op,165,2093603378
tier3_strict_op,166,115103043
tier3_strict_op,167,1564725137
tier3_strict_op,168,1946352043
tier3_strict_op,169,258972724
tier3_strict_op,170,851973347
tier3_strict_op,171,1105817777
tier3_strict_op,172,2043633695
tier3_strict_op,173,935886567
tier3_strict_op,174,1540983298
tier3_strict_op,175,471529062
tier3_strict_op,176,85386110
tier3_strict_op,177,228492404
tier3_strict_op,178,1958748953
tier3_strict_op,179,1760407124
tier3_strict_op,180,1326409633
tier3_strict_op,181,1620351855
tier3_strict_op,182,1609311751
tier3_strict_op,183,168513910
tier3_strict_op,184,1942420579
tier3_strict_op,185,659146416
tier3_strict_op,186,1712561754
tier3_strict_op,187,1810325303
tier3_strict_op,188,1647688309
tier3_strict_op,189,495690970
tier3_strict_op,190,2129510225
tier3_strict_op,191,1514006660
tier3_strict_op,192,1796458687
tier3_strict_op,193,163944693
tier3_strict_op,194,1000043848
tier3_strict_op,195,913356191
tier3_strict_op,196,130306421
tier3_strict_op,197,114041547
tier3_strict_op,198,2029973653
tier3_strict_op,199,1813932
